one.dice	two.dice	three.dice	four.dice	five.dice
6	11	13	16	21
1	2	4	10	16
5	11	14	16	21
1	7	13	15	21
5	6	10	16	19
3	4	9	11	16
5	10	15	16	18
6	8	12	16	22
6	8	14	19	25
2	5	8	13	18
6	8	10	16	22
4	10	16	17	18
4	7	8	12	14
6	7	12	13	18
6	10	16	19	22
2	4	9	14	19
3	8	14	20	26
3	9	10	11	17
4	8	9	13	17
6	11	16	17	23
3	4	9	13	16
5	7	11	14	19
2	3	7	8	14
3	5	6	9	10
5	9	10	14	16
6	11	14	15	21
4	10	16	22	28
5	10	16	21	24
4	5	10	13	14
2	7	11	12	13
1	3	9	13	16
5	6	8	13	16
2	7	13	19	21
3	6	8	14	20
5	8	10	13	16
1	5	7	10	12
5	8	14	20	23
6	8	12	18	20
2	7	9	11	15
2	7	13	19	20
6	12	16	17	21
2	7	8	13	18
4	5	7	12	17
3	4	9	13	16
6	9	14	15	20
4	6	10	12	15
3	6	11	13	15
1	4	10	13	15
