species,m.mass,f.mass
Alectoris graeca,700,575
Alectoris chukar,536,501
Alectoris rufa,516,439
Ammoperdix griseogularis,205,183.7
Bonasa bonasia,369,370
Bonasa umbellus,585,472
Centrocercus urophasianus,3200,1700
Coturnix coturnix,94.5,103
Coturnix delegorguei,72.4,78.5
Coturnix chinensis,41,35.6
Coturnix pectoralis,97.9,106
Coturnix ypsilophora,98,103
Dendragapus canadensis,492,424
Dendragapus obscurus,1273,839
Francolinus adspersus,461,394
Francolinus africanus,456,397.5
Francolinus capensis,757.5,547
Francolinus castaneicollis,1057.5,600
Francolinus clappertoni,604,463
Francolinus coqui,283.5,238.5
Francolinus erckelii,1263.33,1136
Francolinus francolinus,487.5,425
Francolinus harwoodi,545,446
Francolinus hildebrandti,622.5,455
Francolinus icterorhynchus,571,441
Francolinus lathami,254,284
Francolinus leucoscepus,753,545
Francolinus levaillantii,495,515
Francolinus levaillantoides,454,414.5
Francolinus nahani,310,247
Francolinus natalensis,532.5,385
Francolinus nobilis,878.5,639.33
Francolinus psilolaemus,520,440
Francolinus rufopictus,848,588
Francolinus sephaena,368,315
Francolinus shelleyi,450,426
Francolinus squamatus,510,440
Francolinus swainsonii,732,510
Gallus gallus,844,500
Lagopus lagopus,635,555
Lagopus leucurus,359,351
Lagopus mutus,439,414
Lophura leucomelanos,995,794
Meleagris gallopavo,7400,4222
Perdix perdix,378,386
Phasianus colchicus,1186,989
Tetrao mlokosiewiczi,865,766
Tetrao tetrix,1290,988
Tetrao urogallus,4240,1985
Tetraogallus caspius,2684.5,2343.8
Tympanuchus cupido,933,795
Tympanuchus pallidicinctus,743,628
Tympanuchus phasianellus,953,817
