nouns,adjectives,verbs,other,total
0.676470588,0.205882353,0.117647059,0,34
0.739130435,0.086956522,0.130434783,0.043478261,23
0.875,0.125,0,0,8
0.8,0.1,0.1,0,30
0.655172414,0.24137931,0.068965517,0.034482759,29
0.68,0.08,0.24,0,25
0.818181818,0.090909091,0.090909091,0,11
0.925925926,0.074074074,0,0,27
0.619047619,0.095238095,0.285714286,0,21
0.5625,0.1875,0.1875,0.0625,16
0.611111111,0.166666667,0.222222222,0,18
0.526315789,0.157894737,0.315789474,0,19
0.7,0.1,0.15,0.05,20
0.75,0.083333333,0.083333333,0.083333333,12
0.6,0.16,0.24,0,25
0.653846154,0.153846154,0.192307692,0,26
0.782608696,0.173913043,0,0.043478261,23
0.551724138,0.344827586,0.068965517,0.034482759,29
0.088235294,0.676470588,0.235294118,0,34
0.21875,0.40625,0.34375,0.03125,32
0.35483871,0.419354839,0.161290323,0.064516129,31
0.583333333,0.125,0.125,0.166666667,24
0.615384615,0,0.384615385,0,13
0.681818182,0.136363636,0.181818182,0,22
0.583333333,0.25,0.083333333,0.083333333,24
0.407407407,0.333333333,0.259259259,0,27
0.5,0.214285714,0.214285714,0.071428571,14
0.615384615,0.192307692,0.192307692,0,26
0.72,0.2,0.04,0.04,25
0.590909091,0.227272727,0.136363636,0.045454545,22
0.476190476,0.047619048,0.428571429,0.047619048,21
0.285714286,0.285714286,0.428571429,0,21
0.444444444,0.185185185,0.333333333,0.037037037,27
0.741935484,0.064516129,0.129032258,0.064516129,31
0.542857143,0.228571429,0.2,0.028571429,35
0.633333333,0.1,0.266666667,0,30
0.642857143,0.178571429,0.107142857,0.071428571,28
0.714285714,0.178571429,0.107142857,0,28
0.615384615,0.230769231,0.115384615,0.038461538,26
0.592592593,0.037037037,0.296296296,0.074074074,27
