known,heard,non,total
0.764705882,0.088235294,0.147058824,1
0.52173913,0.173913043,0.304347826,1
0.75,0.125,0.125,1
0.8,0,0.2,1
0.931034483,0,0.068965517,1
0.84,0.04,0.12,1
0.636363636,0.181818182,0.181818182,1
0.555555556,0.074074074,0.37037037,1
0.761904762,0.095238095,0.142857143,1
0.875,0.125,0,1
0.888888889,0.111111111,0,1
0.842105263,0,0.157894737,1
0.8,0.05,0.15,1
0.75,0.166666667,0.083333333,1
0.72,0.08,0.2,1
0.807692308,0.076923077,0.115384615,1
0.869565217,0,0.130434783,1
0.75862069,0.068965517,0.172413793,1
0.852941176,0.029411765,0.117647059,1
0.84375,0.03125,0.125,1
0.903225806,0.032258065,0.064516129,1
0.833333333,0.041666667,0.125,1
0.846153846,0,0.153846154,1
0.772727273,0.136363636,0.090909091,1
0.916666667,0,0.083333333,1
0.666666667,0.111111111,0.222222222,1
0.928571429,0,0.071428571,1
0.769230769,0.038461538,0.192307692,1
0.68,0.04,0.28,1
0.818181818,0.136363636,0.045454545,1
0.904761905,0.047619048,0.047619048,1
0.80952381,0,0.19047619,1
0.888888889,0,0.111111111,1
0.967741935,0,0.032258065,1
0.828571429,0.057142857,0.114285714,1
0.866666667,0.066666667,0.066666667,1
0.642857143,0.107142857,0.25,1
0.892857143,0.035714286,0.071428571,1
0.653846154,0.076923077,0.269230769,1
0.703703704,0.074074074,0.222222222,1
