backpack.weight	body.weight	Back.problems	Sex
9	125	Yes	Female
8	195	No	Male
10	120	Yes	Female
6	155	No	Male
8	180	No	Female
5	240	No	Male
8	170	No	Male
4	185	Yes	Female
5	130	No	Female
2	120	No	Female
8	135	No	Female
21	160	No	Male
11	170	No	Male
11	170	Yes	Male
12	125	Yes	Female
11	175	No	Male
13	145	Yes	Female
6	105	No	Female
10	125	Yes	Female
5	165	No	Male
20	170	No	Male
14	117	Yes	Female
11	145	No	Male
15	205	No	Female
10	270	No	Male
18	160	Yes	Male
8	150	No	Male
5	140	No	Female
25	190	No	Male
6	165	Yes	Female
10	145	Yes	Female
15	120	Yes	Female
9	135	No	Female
7	145	No	Male
14	165	Yes	Female
17	145	No	Female
14	140	No	Female
11	160	No	Male
4	155	No	Male
8	143	No	Female
8	145	Yes	Female
13	135	Yes	Female
10	130	No	Female
15	165	Yes	Female
10	140	No	Female
5	115	No	Female
6	128	No	Female
5	150	No	Female
13	220	No	Male
10	150	No	Female
19	170	No	Male
8	155	No	Male
21	116	No	Female
16	190	No	Male
13	145	No	Female
17	144	Yes	Female
10	130	No	Female
5	185	Yes	Male
9	140	No	Female
13	125	No	Female
10	175	No	Male
10	150	No	Female
11	180	Yes	Male
8	140	Yes	Female
12	220	No	Male
35	195	No	Male
12	127	Yes	Female
14	150	No	Female
2	125	No	Male
5	125	Yes	Female
6	180	No	Male
20	180	Yes	Male
14	150	No	Male
14	125	No	Female
8	160	No	Male
25	144	No	Female
2	105	No	Female
8	125	Yes	Female
15	130	Yes	Female
10	120	No	Female
25	175	Yes	Female
24	145	Yes	Female
5	115	Yes	Female
10	110	No	Female
19	130	Yes	Female
13	135	No	Female
9	128	No	Female
14	135	No	Male
20	170	Yes	Male
16	175	No	Male
18	150	No	Male
18	160	Yes	Male
11	168	Yes	Male
13	155	No	Male
15	210	No	Male
14	165	No	Male
6	195	No	Male
11	130	No	Male
9	140	No	Male
15	170	No	Male
